112,60030010,2#EPSON-4#真空异常,3,|00101,NUT进料
113,60030011,2#EPSON-5#真空异常,3,|00101,NUT进料
114,60030012,2#EPSON-6#真空异常,3,|00101,NUT进料
115,60030013,2#EPSON-7#真空异常,3,|00101,NUT进料
116,60030014,成品中转台真空异常,3,|00105,成品下料
117,60030015,成品收料-1#真空异常,3,|00105,成品下料
118,60030016,成品收料-2#真空异常,3,|00105,成品下料
119,60030017,成品收料-3#真空异常,3,|00105,成品下料
120,60030018,成品收料-4#真空异常,3,|00105,成品下料
121,60030019,成品收料-5#真空异常,3,|00105,成品下料
122,60030020,成品收料-6#真空异常,3,|00105,成品下料
123,60030021,成品收料-7#真空异常,3,|00105,成品下料
124,60030022,成品收料-8#真空异常,3,|00105,成品下料
125,60030023,SP取放-1#真空异常,3,|00103,SP进料
126,60030024,SP取放-2#真空异常,3,|00103,SP进料
127,60030025,SP取放-3#真空异常,3,|00103,SP进料
128,60030026,SP取放-4#真空异常,3,|00103,SP进料
129,60030027,Lower中转台-真空异常,3,|00103,SP进料
130,60030028,中转台-1#真空异常,3,|00103,SP进料
131,60030029,中转台-2#真空异常,3,|00103,SP进料
132,60030030,中转台-3#真空异常,3,|00103,SP进料
133,60030031,中转台-4#真空异常,3,|00103,SP进料
134,60030032,中转台-5#真空异常,3,|00103,SP进料
135,60030033,中转台-6#真空异常,3,|00103,SP进料
136,60030034,中转台-7#真空异常,3,|00103,SP进料
137,60030035,中转台-8#真空异常,3,|00103,SP进料
138,60030036,1#小黄-1#真空异常,3,|00104,ST3焊接
139,60030037,1#小黄-2#真空异常,3,|00104,ST3焊接
140,60030038,1#小黄-3#真空异常,3,|00104,ST3焊接
141,60030039,1#小黄-4#真空异常,3,|00104,ST3焊接
142,60030040,1#小黄-5#真空异常,3,|00104,ST3焊接
143,60030041,1#小黄-6#真空异常,3,|00104,ST3焊接
144,60030042,1#小黄-7#真空异常,3,|00104,ST3焊接
145,60030043,1#小黄-8#真空异常,3,|00104,ST3焊接
146,60030044,2#小黄-1#真空异常,3,|00104,ST3焊接
147,60030045,2#小黄-2#真空异常,3,|00104,ST3焊接
148,60030046,2#小黄-3#真空异常,3,|00104,ST3焊接
149,60030047,2#小黄-4#真空异常,3,|00104,ST3焊接
150,60030048,2#小黄-5#真空异常,3,|00104,ST3焊接
151,60030049,2#小黄-6#真空异常,3,|00104,ST3焊接
152,60030050,2#小黄-7#真空异常,3,|00104,ST3焊接
153,60030051,2#小黄-8#真空异常,3,|00104,ST3焊接
154,,,3,,
155,,,3,,
156,,,3,,
157,,,3,,
158,,,3,,
159,,,3,,
160,60120001,主机_轴1-电机扭限报警,3,|00101,NUT进料
161,60120002,主机_轴1-电机报警,3,|00101,NUT进料
162,60120003,主机_轴1-电机出错,3,|00101,NUT进料
163,60120004,主机_轴1-超负极限报警,3,|00101,NUT进料
164,60120005,主机_轴1-超正极限报警,3,|00101,NUT进料
165,60120006,主机_轴2-电机扭限报警,3,|00103,SP进料
166,60120007,主机_轴2-电机报警,3,|00103,SP进料
167,60120008,主机_轴2-电机出错,3,|00103,SP进料
168,60120009,主机_轴2-超负极限报警,3,|00103,SP进料
169,60120010,主机_轴2-超正极限报警,3,|00103,SP进料
170,60120011,主机_轴3-电机扭限报警,3,|00103,SP进料
171,60120012,主机_轴3-电机报警,3,|00103,SP进料
172,60120013,主机_轴3-电机出错,3,|00103,SP进料
173,60120014,主机_轴3-超负极限报警,3,|00103,SP进料
174,60120015,主机_轴3-超正极限报警,3,|00103,SP进料
175,60120016,上料机_轴10-电机扭限报警,3,|00106,下料机
176,60120017,上料机_轴10-电机报警,3,|00106,下料机
177,60120018,上料机_轴10-电机出错,3,|00106,下料机
178,60120019,上料机_轴10-超负极限报警,3,|00106,下料机
179,60120020,上料机_轴10-超正极限报警,3,|00106,下料机
180,60120021,上料机_轴11-电机扭限报警,3,|00106,下料机
181,60120022,上料机_轴11-电机报警,3,|00106,下料机
182,60120023,上料机_轴11-电机出错,3,|00106,下料机
183,60120024,上料机_轴11-超负极限报警,3,|00106,下料机
184,60120025,上料机_轴11-超正极限报警,3,|00106,下料机
185,60120026,上料机_轴12-电机扭限报警,3,|00106,下料机
186,60120027,上料机_轴12-电机报警,3,|00106,下料机
187,60120028,上料机_轴12-电机出错,3,|00106,下料机
188,60120029,上料机_轴12-超负极限报警,3,|00106,下料机
189,60120030,上料机_轴12-超正极限报警,3,|00106,下料机
190,,,3,,
191,,,3,,
192,,,3,,
193,,,3,,
194,,,3,,
195,,,3,,
196,,,3,,
197,,,3,,
198,,,3,,
199,,,3,,
200,,,3,,
201,,,3,,
202,,,3,,
203,,,3,,
204,,,3,,
205,,,3,,
206,,,3,,
207,,,3,,
208,,,3,,
209,,,3,,
210,70020007,人工停止复位,4,,
211,70020001,空运行,5,,
212,,,3,,
213,,,3,,
214,,,3,,
215,12010001,SP待料,1,|00103,SP进料
216,12010002,nut待料,1,|00101,NUT进料
217,12010003,待空盘,1,|00106,下料机
218,12010004,待NG盘,1,|00105,成品下料
219,12010005,料盘未取超时,1,|00106,下料机
220,12010006,NG盘未取超时,1,|00105,成品下料
221,,,3,,
222,,,3,,
223,,,3,,
